"FEATURE","CLEAN_FEAT","APPROVALDT","ORIGIN","DIAMETER","CENTER_LON","CENTER_LAT","TYPE","CODE","APPROVAL","MIN_LON","MAX_LON","MIN_LAT","MAX_LAT","ETHNICITY","CONTINENT","QUAD_NAME","QUAD_CODE","LINK"
"Hedin Z","Hedin Z","2006-01-01 00:00:00","Sven Anders; Swedish explorer (1865-1952).","10.2247","280.993161007901","1.91131446415059","Satellite Feature","SF","Adopted by IAU","280.824476242065","281.161848068237","1.74271965026855","2.07990837097168","Sweden","Europe","Vasco da Gama","LAC-55","http://planetarynames.wr.usgs.gov/Feature/9801"
"Heinsius A","Heinsius A","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","19.5345","342.387939603936","-39.7733767655416","Satellite Feature","SF","Adopted by IAU","341.96873664856","342.80714225769","-40.0954818725586","-39.4512710571289","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9802"
"Heinsius B","Heinsius B","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","23.7094","341.269740749161","-40.0058389640475","Satellite Feature","SF","Adopted by IAU","340.759092330933","341.780382156372","-40.3967838287354","-39.6148929595947","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9803"
"Heinsius C","Heinsius C","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","22.4237","342.049935606077","-40.635609594086","Satellite Feature","SF","Adopted by IAU","341.56276512146","342.537111282349","-41.0053539276123","-40.2658634185791","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9804"
"Heinsius D","Heinsius D","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","6.5356","339.250690756567","-38.8179609243043","Satellite Feature","SF","Adopted by IAU","339.112367630005","339.389017105103","-38.9257259368896","-38.7101955413818","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9805"
"Heinsius E","Heinsius E","2006-01-01 00:00:00","Gottfried; German astronomer (1709-1769).","16.7608","340.415183920071","-37.867428021813","Satellite Feature","SF","Adopted by IAU","340.065103530884","340.765268325806","-38.1437969207764","-37.5910587310791","Germany","Europe","Wilhelm","LAC-111","http://planetarynames.wr.usgs.gov/Feature/9806"
"Hell J","Hell J","2006-01-01 00:00:00","Maximilian; Hungarian astronomer (1720-1792).","5.18915","353.125707343104","-29.6965420061088","Satellite Feature","SF","Adopted by IAU","353.02720451355","353.224214553833","-29.7821044921875","-29.6109771728516","Hungary","Europe","Purbach","LAC-95","http://planetarynames.wr.usgs.gov/Feature/9834"
"Hell K","Hell K","2006-01-01 00:00:00","Maximilian; Hungarian astronomer (1720-1792).","4.82199","354.696677518298","-34.0935414491872","Satellite Feature","SF","Adopted by IAU","354.600652694702","354.79270362854","-34.1730499267578","-34.014030456543","Hungary","Europe","Tycho","LAC-112","http://planetarynames.wr.usgs.gov/Feature/9835"
"Hell L","Hell L","2006-01-01 00:00:00","Maximilian; Hungarian astronomer (1720-1792).","5.33255","355.284490706834","-30.6465771703204","Satellite Feature","SF","Adopted by IAU","355.182256698608","355.386728286743","-30.734504699707","-30.5586490631104","Hungary","Europe","Purbach","LAC-95","http://planetarynames.wr.usgs.gov/Feature/9836"
"Holden V","Holden V","2006-01-01 00:00:00","Edward Singleton; American astronomer (1846-1914).","11.57","62.0687773205848","-18.5748412522911","Satellite Feature","SF","Adopted by IAU","61.8674869537354","62.2699680328369","-18.7657203674316","-18.384162902832","American","North America","Petavius","LAC-98","http://planetarynames.wr.usgs.gov/Feature/10025"
