NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
CORIOLIS;Cratère;;Gaspard Coriolis;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;France;français;19;19 ème siècle;Paris;1792;Paris;1792;Ingénieur de Ponts et Chaussées. Professeur de mécanique en 1816. Etude sur les forces centrifuges.;171,8;171,8 ° Est;0,1;0,1 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-033-M II-034-H3 II-034-M;78;78;46;46;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
COUDER;Cratère;;André Couder;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;France;français;20;20 ème siècle;Alençon;1897;Suresnes;1979;"Directeur du laboratoire d'optique de l'Observatoire de Paris en 1926. Membre de l'Académie des sciences en 1954. Nombreuse études sur les instruments astrométriques et astrophysiques. Auteur de ""Lunettes et télescopes"" en 1935 avec André Danjon.";-92,4;92,4 ° Ouest;-4,8;4,8 ° Sud;Sud-Ouest;;VII;Mare Orientale;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-187-H3 IV-195-H3;21;21;12;12;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
COULOMB;Cratère;;Charles A. De Coulomb;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;France;français;18;18 ème siècle:;Angoulême;1857;Nancy;1926;Découvreur du champ magnétique. Auteur f'une loi sur les forces électrostatiques. Membre de l'Académie des sciences en 1781 et de l'Institut en 1795.;-114,6;114,6 ° Ouest;54,7;54,7 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-008-M V-006-H2 V-015-H3;89;89;52;52;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
CREMONA;Cratère;;Antonio Luigi Cremona;UAI 1979 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;Italie;italien;19;19 ème siècle;Pavie;1830;Rome;1903;Directeur de l'Ecole Polytechnique de Rome en 1873. Auteur d'une théorie générale sur les des transformations algébriques. Ministre en 1898.;-90,6;90,6 ° Ouest;67,5;67,5 ° Nord;Nord-Ouest;;I;Brianchon;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;85;85;50;50;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
CROCCO;Cratère;;Gaetano A. Crocco;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;Italie;italien;20;20 ème siècle;??;1877;??;1968;Spécialiste de l'aéronautique.;150,2;150,2 ° Est;-47,5;47,5 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;75;75;44;44;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
CROMMELIN;Cratère;;Andrew Claude De La Cherois Crommelin;UAI 1964 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Royaume Uni;britannique;20;20 ème siècle;??;1865;??;1939;??;-146,9;146,9 ° Ouest;-68,1;68,1 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;94;94;55;55;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
CROOKES;Cratère;;Sir William Crookes;UAI 1973 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Royaume Uni;britannique;19;19 ème siècle;Londres;1832;Londres;1919;Inventeur du radiomètre en 1872 et d'un tube générateur de rayons X. Travaux sur la viscosité et la conductibilité des gaz. Membre de la Société Royale en 1863.;-164,5;164,5 ° Ouest;-10,3;10,3 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-030-H2 I-030-M I-035-M I-038-M I-028-M I-036-M;49;49;29;29;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
CTESIBIUS;Cratère;;Ctesibius;UAI 1994 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Egypte;égyptien;-1;1 er siècle av JC ;??;??;??;100;??;118,7;118,7 ° Est;0,8;0,8 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;36;36;21;21;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
CURIE;Cratère;;Pierre Curie;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;France;français;19;19 ème siècle;Paris;1859;Paris;1906;Découvreur de la piézoélectricité en 1880 et du point de transformation du magnétisme. Epoux de Marie Curie en 1895. Auteur du principe de symétrie des phénomènes. Découvreur du polonium et du radium en 1898. Prix Nobel en 1903 avec sa femme.  ;91;91 ° Est;-22,9;22,9 ° Sud;Sud-Est;;IV;Curie;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;151;151;89;89;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Circular formation situated in the librations zone;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
CYRANO;Cratère;;Cyrano De Bergerac Savinien;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ecrivain;France;français;17;17 ème siècle;;1615;;1655;;157,7;157,7 ° Est;-20,5;20,5 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-075-M II-075-H2;80;80;47;47;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DAEDALUS;Cratère;;Dédale;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Personnage mythologique;Grèce;grec;;;;;;;Créateur du labyrinthe où été enfermé le minotaure. Inventeur du vol aérien qui fut expérimenté par son fils Icare.. ;179,4;179,4 ° Est;-5,9;5,9 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-033-M II-034-M;93;93;55;55;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
D'ALEMBERT;Cratère;;Jean Le Rond d'Alembert;UAI 1976 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Philosophe;France;français;18;18 ème siècle:;Paris;1717;Paris;1783;Membre de l'Académie des Sciences en 1740. Auteur d'un traité de dynamique en 1743. Calcul de la précession des équinoxes en 1749. Animateur de l'Encyc lopédie avec Diderot. Secrétaire de l'Académie française en 1772.;163,9;163,9 ° Est;50,8;50,8 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;248;248;146;146;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DANJON;Cratère;;André Danjon;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;France;français;20;20 ème siècle;Caen;1890;Suresnes;1967;Directeur de l'Observatoire de Paris en 1945. Membre de l'Académie des Sciences en 1948. Inventeur de l'astrolabe impersonnel et d'un interféromètre. Etudes sur Vénus et Mercure. Auteur de 2 ouvrages avec André Couderc.;124;124 ° Est;-11,4;11,4 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;III-121-M I-136-M;71;71;42;42;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DANTE;Cratère;;Alighieri Dante;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Poëte;Italie;italien;13;13 ème siècle:;;1265;;1321;;-180;180 ° Ouest;25,5;25,5 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;54;54;32;32;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DARIO;Cratère;;Felix Ruben Garcia Sarmiento dit Ruben Dario;UAI 19XX ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Poète;Nicaragua;nicaraguayen;20;20 ème siècle;Métapa;1867;Leon;1916;Initiateur du mouvement moderniste en Amérique Latine.;90,7;90,7 ° Est;-11,3;11,3 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;19;19;11;11;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
D'ARSONVAL;Cratère;;Jacques Arsène d'Arsonval;UAI 1976 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;France;français;20;20 ème siècle;La Borie;1851;La Borie;1940;Nombreuses études en physique biologique. découvreur des traitements aux courants à haute fréquence. Inventeur de nombreux appareils de physique.;124,6;124,6 ° Est;-10,3;10,3 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;28;28;16;16;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DAS;Cratère;;Amil K. Das;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Inde;Indien;20;20 ème siècle;??;1902;??;1961;??;-136,8;136,8 ° Ouest;-26,6;26,6 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;38;38;22;22;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DAVISSON;Cratère;;Clinton Joseph Davisson;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Etats-Unis;américain;20;20 ème siècle;Bloomington;1881;Charlotsville;1958;Découvreur de la diffraction des électrons en 1927 avec L. Germer. Réalisateur d'optiques électroniques. Prix Nobel en 1937 avec G. Thomson. ;-174,6;174,6 ° Ouest;-37,5;37,5 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-043-M;87;87;51;51;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DAWSON;Cratère;;Bernhard H. Dawson;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Argentine;argentin;20;20 ème siècle;??;1890;??;1960;??;-134,7;134,7 ° Ouest;-67,4;67,4 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;45;45;26;26;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DE FOREST;Cratère;;Lee De Forest;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;Etats-Unis;américain;20;20 ème siècle;Council Bluffs;1873;Hollywood;1961;Inventeur de la triode en 1906.;-162,1;162,1 ° Ouest;-77,3;77,3 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;57;57;34;34;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DE MORAES;Cratère;;A. de Moraes;UAI 1985 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Brésil;brésilien;20;20 ème siècle;??;1916;??;1970;??;143,2;143,2 ° Est;49,5;49,5 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-124-M;53;53;31;31;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DE ROY;Cratère;;Felix De Roy;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Belgique;belge;20;20 ème siècle;??;1883;??;1942;??;-99,1;99,1 ° Ouest;-55,3;55,3 ° Sud;Sud-Ouest;;VI;Hausen;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;43;43;25;25;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
DE VRIES;Cratère;;Hugo M. De Vries;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Botaniste;Pays-Bas;hollandais;19;19 ème siècle;Haarlem;1848;Lunteren;1935;Découvreur de la mutation en 1897. Théorie générale de la croissance des plantes.;-176,7;176,7 ° Ouest;-19,9;19,9 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;59;59;35;35;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DEBUS;Cratère;;Kurt Heinrich Debus;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Allemagne;allemand;20;20 ème siècle;??;1908;??;1983;??;99,6;99,6 ° Est;-10,5;10,5 ° Sud;Sud-Est;;IV;Curie;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;20;20;12;12;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
DEBYE;Cratère;;Petrus Josephus Wilhelmus Debye;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Etats-Unis;américain;20;20 ème siècle;Maastricht;1884;Ithaca;1966;Directeur de l'Institut de physique de Berlin en 1935. Enseignant à l'Université Cornell en 1940. Etudes sur la théorie des quanta, les électrolytes et les basses températures. Mesure de molécules. Prix Nobel de chimie en 1936.;-176,2;176,2 ° Ouest;49,6;49,6 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-053-H2 V-053-M;142;142;84;84;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DELLINGER;Cratère;;John H. Dellinger;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Etats-Unis;américain;20;20 ème siècle;??;1886;??;1962;??;140,6;140,6 ° Est;-6,8;6,8 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-136-M I-115-M;81;81;48;48;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DELPORTE;Cratère;;Eugene J. Delporte;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Belgique;belge;20;20 ème siècle;??;1882;??;1955;??;121,6;121,6 ° Est;-16;16 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-136-M;45;45;26;26;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DENNING;Cratère;;William F. Denning;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Royaume Uni;britannique;20;20 ème siècle;??;1848;??;1931;??;142,6;142,6 ° Est;-16,4;16,4 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;44;44;26;26;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DEUTSCH;Cratère;;Armin J. Deutsch;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1918;??;1969;??;110,5;110,5 ° Est;24,1;24,1 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;66;66;39;39;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DEWAR;Cratère;;Sir James Dewar;UAI 1988 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Royaume Uni;britannique;19;19 ème siècle;Kincardine-Forth;1842;Londres;1923;Inventeur d'une bouteille isolante pour gaz liquéfiés et de la cordite. Auteur de la première liquéfaction de l'hydrogène eet du fluor en 1896. ;165,5;165,5 ° Est;-2,7;2,7 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;50;50;29;29;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DIDEROT;Cratère;;Denis Diderot;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Philosophe;France;français;18;18 ème siècle;;1713;;1784;Superviseur de l'Encyclopédie avec D'Alembert.;121,5;121,5 ° Est;-20,4;20,4 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;20;20;12;12;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DIRICHLET;Cratère;;Peter Gustave Lejeune;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Mathématicien;Allemagne;allemand;19;19 ème siècle;Düren;1805;Göttingen;1859;Professeur à l'Université de Berin en 1831. Nombreux travaux sur la théorie des nombres algébriques dont les critères de  convergences des séries.. ;-151,4;151,4 ° Ouest;11,1;11,1 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;47;47;28;28;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DOBROVOL'SKIY;Cratère;;Georgiy T. Dobrovol'skiy;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Cosmonaute;URSS;soviétique;20;20 ème siècle;??;1928;??;1971;Cosmonaute de la mission Soyouz 11. Décédé par asphyxie lors du retour sur Terre le 30 juin 1971 avec Volkov et Patsayev.;129,7;129,7 ° Est;-12,8;12,8 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-136-H3 I-136-M;38;38;22;22;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DOERFEL;Cratère;;Georg Samuel Dörffel;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Allemagne;allemand;17;17 ème siècle;Plauen;1643;Weida;1688;Etudes sur les comètes. Découverte de la forme parabolique de leurs orbites.;-107,9;107,9 ° Ouest;-69,1;69,1 ° Sud;Sud-Ouest;;VI;Hausen;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;68;68;40;40;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Circular formation situated in the librations zone;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
DONNER;Cratère;;Anders Donner;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Finlande;finlandais;20;20 ème siècle;??;1873;??;1949;??;98;98 ° Est;-31,4;31,4 ° Sud;Sud-Est;;IV;Curie;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;58;58;34;34;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Circular formation situated in the librations zone;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
DOPPLER;Cratère;;Christian Doppler;UAI 1973 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Autriche;autrichien;19;19 ème siècle;Salzbourg;1803;Venise;1853;Découvreur du décalage de la longueur d'onde en fonction de la vitesse. Directeur de l'Institut de physique de Vienne en 1851. ;-159,6;159,6 ° Ouest;-12,6;12,6 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;I-036-H3 I-028-M I-039-M I-040-M I-038-M I-030-M I-038-H3 I-037-M I-035-M I-036-M;110;110;65;65;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DOUGLASS;Cratère;;Andrew E. Douglass;UAI 1976 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1867;??;1962;??;-122,4;122,4 ° Ouest;35,9;35,9 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;49;49;29;29;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
DREYER;Cratère;;Johan Ludwig Emile Dreyer;UAI 1985 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Danemark;danois;20;20 ème siècle;Copenhague;1852;Oxford;1926;Auteur du New General Catalogue of nebulae and clusters of stars en 1888 et de ses deux Index Catalogues en 1895 et 1908. ;96,9;96,9 ° Est;10;10 ° Nord;Nord-Est;;III;Mare Marginis;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;61;61;36;36;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
DRUDE;Cratère;;Paul K. L. Drude;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Allemagne;allemand;19;19 ème siècle;Brunswick;1863;Berlin;1906;Auteur de la théorie de la structure électronique des métaux en 1902.;-91,8;91,8 ° Ouest;-38,5;38,5 ° Sud;Sud-Ouest;;VII;Mare Orientale;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;24;24;14;14;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
DRYDEN;Cratère;;Hugh Latimer Dryden;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Etats-Unis;américain;20;20 ème siècle;Pocomoke City;1898;Washington;1965;Directeur du National Bureau of Standards en 1946. Etude sur la turbulence. Inventeur du premier engin militaire autoguidé en 1944. Sous-directeur de la Nasa en 1958.;-155,2;155,2 ° Ouest;-33;33 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-030-H2;51;51;30;30;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
