NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS_FR;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Polybius 1;Cúpula;No determinat;Cúpula de Polybius n° 1;ALPO 1976;;;;Historiador i home d'estat;Grècia;grec;-3;Segle 3er AC;Megalopolis;204 AC;?;122 AC;"Amic de Escipió l'Africà. Autor d'una ""Història"" del món antic.";26.09304241;26 ° 6 '  Est;-21.22307378;21 ° 13 '  Sud;Sud-Est;Sector del cràter Catharina;57;Catharina;149;13a3 / 13b3 / 15h3;334S 343C 135S 143S 148S;;IV-084-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Polybius;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;999;No determinat;No determinat
Pontanus H 1;Cúpula;No determinat;Cúpula de Pontanus H n° 1;ALPO 1976;;;;Polític i humanista;Itàlia;italià;15;15è segle;Cerreto;1427;Naples;1503;Fundador de l'Acadèmia de Nàpols. Autor de diversos tractats filosòfics i astronòmics.;16.07450991;16 ° 4 '  Est;-31.53370156;31 ° 32 '  Sud;Sud-Est;Regió a l'oest del cràter Catharina;56;Azophi;121;13d2 / 14d8;351S 357S 148S 154S 161S 167S;;IV-089-H1 IV-096-H1;6;12;39.967;7.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Pontanus H;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Allargada N/S.;3;Formació molt interessant;6;6 dies després de la Lluna nova;5 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Posidonius 1;Cúpula;No determinat;Cúpula de Posidonius n° 1;ALPO 1976;;;;Escriptor;Grècia;grec;-2;Segle 2on AC;Aparnée;135 AC;Roma;51 AC;Fundador de l'escola de filosofia de Rodes. Preceptor de Ciceró i de Pompeu.;29.47872758;29 ° 29 '  Est;30.73046222;30 ° 44 '  Nord;Nord-Est;Regió al nord-est del Mar de la Serenitat;14;Hercules;312;1b7 / 2a1 / 2a2 / 3g8 / 4g3;328N/C 334N 343N 131N 135N/C 143N 148N;MM81 L100/020;IV-086-H1 IV-079-H1;7;7;39.876;4.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Posidonius;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Posidonius 2;Cúpula;No determinat;Cúpula de Posidonius n° 2;ALPO 1976;;;;Escriptor;Grècia;grec;-2;Segle 2on AC;Aparnée;135 AC;Roma;51 AC;Fundador de l'escola de filosofia de Rodes. Preceptor de Ciceró i de Pompeu.;29.58113095;29 ° 35 '  Est;32.14068663;32 ° 8 '  Nord;Nord-Est;Regió al nord-est del Mar de la Serenitat;14;Hercules;312;1b7 / 2a1 / 2a2 / 3g8 / 4g3;328N/C 334N 343N 131N 135N/C 143N 148N;MM81 L100/020;IV-086-H1 IV-079-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Posidonius;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Prop d'un sistema de ranures.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;999;No determinat;No determinat
Posidonius 3;Cúpula;No determinat;Cúpula de Posidonius n° 3;ALPO 1976;;;;Escriptor;Grècia;grec;-2;Segle 2on AC;Aparnée;135 AC;Roma;51 AC;Fundador de l'escola de filosofia de Rodes. Preceptor de Ciceró i de Pompeu.;30.07371399;30 ° 4 '  Est;32.20837774;32 ° 13 '  Nord;Nord-Est;Regió al nord-est del Mar de la Serenitat;14;Hercules;312;1b7 / 2a1 / 2a2 / 3g8 / 4g3;328N/C 334N 343N 131N 135N/C 143N 148N;MM81 L100/020;IV-086-H1 IV-079-H1;39.822;39.822;39.938;5.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Posidonius;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Posidonius 4;Cúpula;No determinat;Cúpula de Posidonius n° 4;ALPO 1976;;;;Escriptor;Grècia;grec;-2;Segle 2on AC;Aparnée;135 AC;Roma;51 AC;Fundador de l'escola de filosofia de Rodes. Preceptor de Ciceró i de Pompeu.;29.73207201;29 ° 44 '  Est;32.34391141;32 ° 21 '  Nord;Nord-Est;Regió al nord-est del Mar de la Serenitat;14;Hercules;312;1b7 / 2a1 / 2a2 / 3g8 / 4g3;328N/C 334N 343N 131N 135N/C 143N 148N;MM81 L100/020;IV-086-H1 IV-079-H1;13;5;40.063;3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Posidonius;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Cúpula potser doble.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Posidonius 5;Cúpula;No determinat;Cúpula de Posidonius n° 5;ALPO 1976;;;;Escriptor;Grècia;grec;-2;Segle 2on AC;Aparnée;135 AC;Roma;51 AC;Fundador de l'escola de filosofia de Rodes. Preceptor de Ciceró i de Pompeu.;29.52239585;29 ° 31 '  Est;32.41175439;32 ° 25 '  Nord;Nord-Est;Regió al nord-est del Mar de la Serenitat;14;Hercules;312;1b7 / 2a1 / 2a2 / 3g8 / 4g3;328N/C 334N 343N 131N 135N/C 143N 148N;MM81 L100/020;IV-086-H1 IV-079-H1;9;9;39.938;5.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Posidonius;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Posidonius 6;Cúpula;No determinat;Cúpula de Posidonius n° 6;ALPO 1976;;;;Escriptor;Grècia;grec;-2;Segle 2on AC;Aparnée;135 AC;Roma;51 AC;Fundador de l'escola de filosofia de Rodes. Preceptor de Ciceró i de Pompeu.;33.21575998;33 ° 13 '  Est;32.88809631;32 ° 53 '  Nord;Nord-Est;Regió al nord-est del Mar de la Serenitat;14;Hercules;312;1b7 / 2a1 / 2a2 / 3g8 / 4g3;328N/C 334N 343N 131N 135N/C 143N 148N;MM81 L100/020;IV-086-H1 IV-079-H1;29;31;39.981;18.8;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE del cràter Posidonius;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Petita cúpula.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Posidonius P 1;Cúpula;No determinat;Cúpula de Posidonius P n° 1;ALPO 1976;;;;Escriptor;Grècia;grec;-2;Segle 2on AC;Aparnée;135 AC;Roma;51 AC;Fundador de l'escola de filosofia de Rodes. Preceptor de Ciceró i de Pompeu.;26.57811061;26 ° 35 '  Est;32.81989157;32 ° 49 '  Nord;Nord-Est;Regió al nord-est del Mar de la Serenitat;14;Hercules;312;1b7 / 2a1 / 2a2 / 3g8 / 4g3;328N/C 334N 343N 131N 135N/C 143N 148N;MM81 L100/020;IV-086-H1 IV-079-H1;30;17;39.862;10.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Posidonius P;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Tub de lava associat.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;30;10x binoculars;50 mm refractor
Posidonius P 1;Cúpula;No determinat;Cúpula de Posidonius P n° 1;ALPO 1976;;;;Escriptor;Grècia;grec;-2;Segle 2on AC;Aparnée;135 AC;Roma;51 AC;Fundador de l'escola de filosofia de Rodes. Preceptor de Ciceró i de Pompeu.;26.53619989;26 ° 32 '  Est;33.16144287;33 ° 10 '  Nord;Nord-Est;Regió al nord-est del Mar de la Serenitat;14;Hercules;312;1b7 / 2a1 / 2a2 / 3g8 / 4g3;328N/C 334N 343N 131N 135N/C 143N 148N;MM81 L100/020;IV-086-H1 IV-079-H1;30;17;39.862;10.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Posidonius P;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Tub de lava associat.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;30;10x binoculars;50 mm refractor
Prinz 1;Cúpula;No determinat;Cúpula de Prinz n° 1;ALPO 1976;;;;Astrònom;Alemanya;alemany;19;19è segle;?;1857;?;1910;Autor d'un estudi comparatiu de la Terra i de la Lluna.;-44.42876167;44 ° 26 '  Oest;25.46756014;25 ° 28 '  Nord;Nord-Oest;Regió situada entre l'Oceà de les Tempestes i el Mar de les Pluges;19;Brayley;338;7c8 / 8d2;048N 055N 061N 225N;MM169;IV-150-H3 IV-144-H3 IV-151-H1;5;3;3;1.8;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SO del cràter Prinz;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Base oval. Hemisfèrica.;3;Formació molt interessant;11;4 dies després de quart creixent;3 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Prinz 2;Cúpula;No determinat;Cúpula de Prinz n° 2;ALPO 1976;;;;Astrònom;Alemanya;alemany;19;19è segle;?;1857;?;1910;Autor d'un estudi comparatiu de la Terra i de la Lluna.;-44.16347582;44 ° 10 '  Oest;25.84894251;25 ° 51 '  Nord;Nord-Oest;Regió situada entre l'Oceà de les Tempestes i el Mar de les Pluges;19;Brayley;338;7c8 / 8d2;048N 055N 061N 225N;MM169;IV-150-H3 IV-144-H3 IV-151-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Prinz;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;11;4 dies després de quart creixent;3 dies després de quart minvant;999;No determinat;No determinat
Prinz 3;Cúpula;No determinat;Cúpula de Prinz n° 3;ALPO 1976;;;;Astrònom;Alemanya;alemany;19;19è segle;?;1857;?;1910;Autor d'un estudi comparatiu de la Terra i de la Lluna.;-44.17031958;44 ° 10 '  Oest;26.42333877;26 ° 25 '  Nord;Nord-Oest;Regió situada entre l'Oceà de les Tempestes i el Mar de les Pluges;19;Brayley;338;7c8 / 8d2;048N 055N 061N 225N;MM169;IV-150-H3 IV-144-H3 IV-151-H1;13;13;40.063;7.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Prinz;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Hemisfèrica. Sobre una ejecció de Prinz.;3;Formació molt interessant;11;4 dies després de quart creixent;3 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Prinz 4;Cúpula;No determinat;Cúpula de Prinz n° 4;ALPO 1976;;;;Astrònom;Alemanya;alemany;19;19è segle;?;1857;?;1910;Autor d'un estudi comparatiu de la Terra i de la Lluna.;-43.29035923;43 ° 17 '  Oest;26.80786103;26 ° 48 '  Nord;Nord-Oest;Regió situada entre l'Oceà de les Tempestes i el Mar de les Pluges;19;Brayley;338;7c8 / 8d2;048N 055N 061N 225N;MM169;IV-150-H3 IV-144-H3 IV-151-H1;18;18;40.066;10.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Prinz;Volcà;Vulcanisme extrusiu;Descripció ALPO : Cúpula ampla. Cràter-pou al cim.;4;Formació excepcional.;11;4 dies després de quart creixent;3 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Prinz 5;Cúpula;No determinat;Cúpula de Prinz n° 5;ALPO 1976;;;;Astrònom;Alemanya;alemany;19;19è segle;?;1857;?;1910;Autor d'un estudi comparatiu de la Terra i de la Lluna.;-44.03146372;44 ° 2 '  Oest;26.87207446;26 ° 52 '  Nord;Nord-Oest;Regió situada entre l'Oceà de les Tempestes i el Mar de les Pluges;19;Brayley;338;7c8 / 8d2;048N 055N 061N 225N;MM169;IV-150-H3 IV-144-H3 IV-151-H1;16;16;40.003;9.7;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Prinz;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Hemisfèrica. Sobre una ejecció de Prinz.;3;Formació molt interessant;11;4 dies després de quart creixent;3 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Proclus P 1;Cúpula;No determinat;Cúpula de Proclus P n° 1;ALPO 1976;;;;Filòsof;Grècia;grec;5;5è segle;Constantinobla;412;Atenes;485;"Director de l'Escola neoplatònica en 452. Autor dels ""Elements de teologia"".";49.75148323;49 ° 45 '  Est;15.07006214;15 ° 4 '  Nord;Nord-Est;Vora nord-oest del Mar de les Crisis;26;Cleomedes;264;3d5;315N/C 323N/C 124N;MM93 L100/012;IV-061-H2 IV-066-H2;6;6;39.967;3.6;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;E del cràter Proclus P;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Hemisfèrica. Tallat per una ranura.;3;Formació molt interessant;4;4 dies després de la Lluna nova;3 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Putredinis 1;Cúpula;No determinat;Cúpula de Palus Putredinis n° 1;ALPO 1976;;;;;;;;;;;;;;1.017613024;1 ° 1 '  Est;25.72167938;25 ° 43 '  Nord;North - East;Regió dels Montes Apenninus;22;Conon;322;1g7 / 2f1 / 5a7 / 6a1;003N/C OO9N 174N/C 179N;;;2;2;39.845;1.2;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;En Palus Putredinis;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Oblong.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;150;150 mm refractor;300 mm reflector
Putredinis 2;Cúpula;No determinat;Cúpula de Palus Putredinis n° 2;ALPO 1976;;;;;;;;;;;;;;1.402300443;1 ° 24 '  Est;25.97634274;25 ° 59 '  Nord;North - East;Regió dels Montes Apenninus;22;Conon;322;1g7 / 2f1 / 5a7 / 6a1;003N/C OO9N 174N/C 179N;;;21;21;40.037;12.8;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;En Palus Putredinis;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Oblong.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Putredinis 3;Cúpula;No determinat;Cúpula de Palus Putredinis n° 3;ALPO 1976;;;;;;;;;;;;;;0.127469237;0 ° 52 '  Est;25.97634274;25 ° 59 '  Nord;North - East;Regió dels Montes Apenninus;22;Conon;322;1g7 / 2f1 / 5a7 / 6a1;003N/C OO9N 174N/C 179N;;;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;En Palus Putredinis;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Oblong.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;999;No determinat;No determinat
Putredinis 4;Cúpula;No determinat;Cúpula de Palus Putredinis n° 4;ALPO 1976;;;;;;;;;;;;;;1.534846064;1 ° 32 '  Est;26.35937679;26 ° 22 '  Nord;North - East;Regió dels Montes Apenninus;22;Conon;322;1g7 / 2f1 / 5a7 / 6a1;003N/C OO9N 174N/C 179N;;;22;14;39.916;8.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;En Palus Putredinis;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Oblong.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Putredinis 5;Cúpula;No determinat;Cúpula de Palus Putredinis n° 5;ALPO 1976;;;;;;;;;;;;;;-0.772568331;0 ° 46 '  Oest;27.12929446;27 ° 8 '  Nord;North - West;Regió dels Montes Apenninus;22;Conon;322;1g7 / 2f1 / 5a7 / 6a1;003N/C OO9N 174N/C 179N;;;39.85;39.85;40.028;3.8;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;En Palus Putredinis;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Perfil baix.;3;Formació molt interessant;8;1 dia després de quart creixent;Quart minvant;50;50 mm refractor;100 mm refractor
Pytheas C 1;Cúpula;No determinat;Cúpula de Pytheas C n° 1;ALPO 1976;;;;Navegant i geògraf;Grècia;grec;-4;Segle 4rt AC;Massàlia;vers 350 AC;?;?;Expedició a Escandinàvia. Descobridor de les illes Feroe i del Jylland. Descobridor de la influència de la Lluna sobre les marees. Determinació de la latitud de Marsella. Assaig de determinació del pol celest.;-18.26852784;18 ° 16 '  Oest;16.85795602;16 ° 51 '  Nord;Nord-Oest;Part sud del Mar de les Pluges;20;Pytheas;301;5000000;024N/C 029C 191N 201N;;IV-126-H3 IV-176-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Pytheas C;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Sobre una dorsal.;3;Formació molt interessant;9;2 dies després de quart creixent;1 dia després de quart creixent;999;No determinat;No determinat
Ramsden 1;Cúpula;No determinat;Cúpula de Ramsden n° 1;ALPO 1976;;;;Mecànic;Anglaterra;anglès;18;18è segle;Salterhebble;1735;Brighton;1800;Inventor d'aparells astronòmics com ara un tipus d'ocular. Inventor del teodolit i del dinamòmetre.;-32.75167954;32 ° 45 '  Oest;-35.02963162;35 ° 2 '  Sud;Sud-Oest;Regió al nord-oest del cràter Tycho;63;Capuanus;136;3b6 / 4b2;036S 040S 048S 201S 205S;;;7;10;39.876;6.1;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;S del cràter Ramsden;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;10;3 dies després de quart creixent;2 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Reaumur 1;Cúpula;No determinat;Cúpula de Reaumur n° 1;ALPO 1976;;;;Físic i naturalista;França;francès;18;18è segle;La Rochelle;1683;St Julien du Terroux;1757;Membre de l'Acadèmia de les Ciències en 1708. Inventor del termòmetre d'alcohol en 1730. Treballs sobre els aliatges fèrrics. Nombrosos estudis sobre els animals.;0.745725735;0 ° 15 '  Est;-2.751254589;2 ° 45 '  Sud;Sud-Est;Sector del cràter Ptolomeu;44;Ptolemaeus;238;13b2 / 16h8;003S 009C 174C 179C;;IV-102-H1 IV-101-H3 IV-108-H3;3;4;40.026;2.4;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Réumur;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;100;100 mm refractor;200 mm reflector
Reaumur 2;Cúpula;No determinat;Cúpula de Reaumur n° 2;ALPO 1976;;;;Físic i naturalista;França;francès;18;18è segle;La Rochelle;1683;St Julien du Terroux;1757;Membre de l'Acadèmia de les Ciències en 1708. Inventor del termòmetre d'alcohol en 1730. Treballs sobre els aliatges fèrrics. Nombrosos estudis sobre els animals.;1.032472784;1 ° 2 '  Est;-2.636536234;2 ° 38 '  Sud;Sud-Est;Sector del cràter Ptolomeu;44;Ptolemaeus;238;13b2 / 16h8;003S 009C 174C 179C;;IV-102-H1 IV-101-H3 IV-108-H3;1;39.935;0.6;1.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Réumur;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;250;250 mm reflector;500 mm reflector
Reaumur 3;Cúpula;No determinat;Cúpula de Reaumur n° 3;ALPO 1976;;;;Físic i naturalista;França;francès;18;18è segle;La Rochelle;1683;St Julien du Terroux;1757;Membre de l'Acadèmia de les Ciències en 1708. Inventor del termòmetre d'alcohol en 1730. Treballs sobre els aliatges fèrrics. Nombrosos estudis sobre els animals.;0.745247801;0 ° 15 '  Est;-1.833778;1 ° 50 '  Sud;Sud-Est;Sector del cràter Ptolomeu;44;Ptolemaeus;238;13b2 / 16h8;003S 009C 174C 179C;;IV-102-H1 IV-101-H3 IV-108-H3;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Réumur;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;999;No determinat;No determinat
Roiner 1;Cúpula;No determinat;Cúpula de Roiner n° 1;ALPO 1976;;;;Matemàtic i astrònom;Itàlia;italià;17;17è segle;?;?;?;1648;Deixeble de Galileu.;-52.77302249;52 ° 46 '  Oest;7.180755781;7 ° 11 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;E del cràter Roiner;Volcà;Vulcanisme extrusiu;Descripció ALPO : Cúpula complexa. Múltiples cràters-pou al cim. Brillant. Radiació de Kepler recobrint la cúpula.;4;Formació excepcional.;12;5 dies després de quart creixent;4 dies després de quart minvant;999;No determinat;No determinat
Roiner 2;Cúpula;No determinat;Cúpula de Roiner n° 2;ALPO 1976;;;;Matemàtic i astrònom;Itàlia;italià;17;17è segle;?;?;?;1648;Deixeble de Galileu.;-53.1404293;53 ° 8 '  Oest;7.64298544;7 ° 39 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;5;39.936;3;2.1;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;E del cràter Roiner;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Circular i pla.;3;Formació molt interessant;12;5 dies després de quart creixent;4 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Roiner 3;Cúpula;No determinat;Cúpula de Roiner n° 3;ALPO 1976;;;;Matemàtic i astrònom;Itàlia;italià;17;17è segle;?;?;?;1648;Deixeble de Galileu.;-53.30074432;53 ° 18 '  Oest;7.989984699;7 ° 59 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;3;5;40.026;3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE del cràter Roiner;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;12;5 dies després de quart creixent;4 dies després de quart minvant;100;100 mm refractor;200 mm reflector
Roiner 4;Cúpula;No determinat;Cúpula de Roiner n° 4;ALPO 1976;;;;Matemàtic i astrònom;Itàlia;italià;17;17è segle;?;?;?;1648;Deixeble de Galileu.;-55.0924545;55 ° 6 '  Oest;8.047846247;8 ° 3 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;11;11;40;6.7;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Roiner;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Circular.;3;Formació molt interessant;12;5 dies després de quart creixent;4 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Roiner 5;Cúpula;No determinat;Cúpula de Roiner n° 5;ALPO 1976;;;;Matemàtic i astrònom;Itàlia;italià;17;17è segle;?;?;?;1648;Deixeble de Galileu.;-52.45938464;52 ° 28 '  Oest;8.105716059;8 ° 6 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;4;10;39.905;6.1;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE del cràter Roiner;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Allargada N/S.;3;Formació molt interessant;12;5 dies després de quart creixent;4 dies després de quart minvant;100;100 mm refractor;200 mm reflector
Roiner 6;Cúpula;No determinat;Cúpula de Roiner n° 6;ALPO 1976;;;;Matemàtic i astrònom;Itàlia;italià;17;17è segle;?;?;?;1648;Deixeble de Galileu.;-51.48603458;51 ° 29 '  Oest;8.916796253;8 ° 55 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;11;15;40;9.1;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE del cràter Roiner;Volcà;Vulcanisme extrusiu;Descripció ALPO : Gran cràter-pou al cim.;4;Formació excepcional.;11;4 dies després de quart creixent;3 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Roiner 7;Cúpula;No determinat;Cúpula de Roiner n° 7;ALPO 1976;;;;Matemàtic i astrònom;Itàlia;italià;17;17è segle;?;?;?;1648;Deixeble de Galileu.;-58.22145178;58 ° 13 '  Oest;9.264944551;9 ° 16 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;7;11;39.876;6.7;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NO del cràter Roiner;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Oval. Prop d'una ranura.;3;Formació molt interessant;12;5 dies després de quart creixent;4 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Roiner 8;Cúpula;No determinat;Cúpula de Roiner n° 8;ALPO 1976;;;;Matemàtic i astrònom;Itàlia;italià;17;17è segle;?;?;?;1648;Deixeble de Galileu.;-53.10099322;53 ° 6 '  Oest;9.381070062;9 ° 23 '  Nord;Nord-Oest;Part central de l'Oceà de les Tempestes;29;Marius;257;10d3;055C 061C 067N/C 075N/C 080N/C 225C 233N/C;;IV-157-H1;8;8;40.06;4.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE del cràter Roiner;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Més aviat un turó. Cim leptocúrtic.;3;Formació molt interessant;12;5 dies després de quart creixent;4 dies després de quart minvant;50;50 mm refractor;100 mm refractor
