NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGHTKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
VAVILOV K;Crater;??;Nikolaj Ivanovitch Vavilov;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;biologist;Russia;Russian;20;20 th century;Moscow;1857;Magadan;1943;Author of numerous works on natural selection and cultures acclimatation as that of cereals.;-135,5;135,5 ° West;-5,2;5,2 ° South;South-West;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;30;30;18;18;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAVILOV P;Crater;??;Nikolaj Ivanovitch Vavilov;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;biologist;Russia;Russian;20;20 th century;Moscow;1857;Magadan;1943;Author of numerous works on natural selection and cultures acclimatation as that of cereals.;-139,6;139,6 ° West;-3,4;3,4 ° South;South-West;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;23;23;14;14;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VENING MEINESZ C;Crater;??;Felix A. Vening Meinesz;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;geophysicist;Netherlands;Dutch;20;20 th century;Scheveningen;1887;Amersfoort;1966;President of the Geodesics international association on 1933. Author of geophysical theory of mountains origin.;163,8;163,8 ° East;1,2;1,2 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;46;46;27;27;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VENING MEINESZ Q;Crater;??;Felix A. Vening Meinesz;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;geophysicist;Netherlands;Dutch;20;20 th century;Scheveningen;1887;Amersfoort;1966;President of the Geodesics international association on 1933. Author of geophysical theory of mountains origin.;161;161 ° East;-2,6;2,6 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;17;17;10;10;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VENING MEINESZ T;Crater;??;Felix A. Vening Meinesz;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;geophysicist;Netherlands;Dutch;20;20 th century;Scheveningen;1887;Amersfoort;1966;President of the Geodesics international association on 1933. Author of geophysical theory of mountains origin.;159,3;159,3 ° East;-0,4;0,4 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;15;15;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VENING MEINESZ W;Crater;??;Felix A. Vening Meinesz;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;geophysicist;Netherlands;Dutch;20;20 th century;Scheveningen;1887;Amersfoort;1966;President of the Geodesics international association on 1933. Author of geophysical theory of mountains origin.;161;161 ° East;1,5;1,5 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;39;39;23;23;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VENING MEINESZ Z;Crater;??;Felix A. Vening Meinesz;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;geophysicist;Netherlands;Dutch;20;20 th century;Scheveningen;1887;Amersfoort;1966;President of the Geodesics international association on 1933. Author of geophysical theory of mountains origin.;162,5;162,5 ° East;0,8;0,8 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;25;25;15;15;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VENTRIS A;Crater;??;Michael G. F. Ventris;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;historian;United Kingdom;British;20;20 th century;??;1922;??;1956;Cretan script decipherer.;158,2;158,2 ° East;-4,4;4,4 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;26;26;15;15;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VENTRIS B;Crater;??;Michael G. F. Ventris;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;historian;United Kingdom;British;20;20 th century;??;1922;??;1956;Cretan script decipherer.;158,2;158,2 ° East;-2,4;2,4 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;18;18;11;11;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VENTRIS C;Crater;??;Michael G. F. Ventris;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;historian;United Kingdom;British;20;20 th century;??;1922;??;1956;Cretan script decipherer.;158,9;158,9 ° East;-3,2;3,2 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;48;48;28;28;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
