NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURY;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
DRUDE;Cráter;;Paul K. L. Drude;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;Alemania;Alemán;19;Siglo XIX;Brunswick;1863;Berlín;1906;Autor de la teoría de las estructuras metálicas en 1902.;-91,8;91,8 ° Oeste;-38,5;38,5 ° Sur;Sur-Oeste;;VII;Mare Orientale;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;24;24;14;14;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
DRYDEN;Cráter;;Hugh Latimer Dryden;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;U.S.A.;Americano;20;Siglo XX;Pocomoke City;1898;Washington;1965;Director la Oficina Nacional de Standards en 1946. Estudios sobre turbulencias. Ideólogo del primer cohete militar autoguiado en 1944. Director de la NASA en 1958.;-155,2;155,2 ° Oeste;-33;33 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-030-H2;51;51;30;30;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
DUFAY;Cráter;;Jean Claude Barthélémy Dufay;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Francia;Francés;20;Siglo XX;Blois;1896;Chaponost;1967;Primer director del Observatorio de la Alta Provenza. Estudios acerca de la espectrometría estelar, corona solar, cometas y medio interestelar..;169,5;169,5 ° Este;5,5;5,5 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;39;39;23;23;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
DUGAN;Cráter;;Raymond S. Dugan;UAI 1976 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1878;??;1940;??;103,3;103,3 ° Este;64,2;64,2 ° Norte;Norte-Este;;II;Nansen;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;50;50;29;29;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
DUNER;Cráter;;Nils C. Duner;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Suecia;Sueco;19;Siglo XIX;??;1839;??;1914;??;179,5;179,5 ° Este;44,8;44,8 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-053-M;62;62;36;36;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
DYSON;Cráter;;Sir Frank Watson Dyson;UAI 1982 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Reino Unido;Británico;20;Siglo XX;Ashby de la Zouch;1868;Océano Pacífico;1939;Director del Observatorio de Greenwich en 1910. Estudios sobre el movimiento propio de las estrellas y la estructura de la Vía Láctea. Verificación de la teoría de la relatividad durante un eclipse solar.;-121,2;121,2 ° Oeste;61,3;61,3 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-008-M;63;63;37;37;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
DZIEWULSKI;Cráter;;Wladyslaw Dziewulski;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Polonia;Polaco;20;Siglo XX;??;1878;??;1962;??;98,9;98,9 ° Este;21,2;21,2 ° Norte;Norte-Este;;III;Mare Marginis;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;63;63;37;37;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
EDISON;Cráter;;Thomas Alva Edison;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Científico;U.S.A.;Americano;19;Siglo XIX;Milán;1847;West Orange;1931;Autor de más de cien patentes. Ideólogo del telégrafo duplex, el fonógrafo, el proyector de películas... Descubridor del principio del diodo. ;99,1;99,1 ° Este;25;25 ° Norte;Norte-Este;;III;Mare Marginis;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;62;62;36;36;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
EHRLICH;Cráter;;Paul Ehrlich;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Doctor;Alemania;Alemán;19;Siglo XIX;Strehlen;1854;Bad Homburg;1915;Estudios acerca de los anticuerpos. Descubridor de un tratamiento de la sífilis con Hata. Premio Nobel en 1908.;-172,4;172,4 ° Oeste;40,9;40,9 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-053-M V-053-H1;30;30;18;18;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
EIJKMAN;Cráter;;Christiaan H. Eijkman;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Doctor;Holanda;Holandés;20;Siglo XX;Nijkerk;1858;Utrecht;1930; Descubridor de algunas vitaminas. Premio Nobel en 1929.;-141,5;141,5 ° Oeste;-63,1;63,1 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;54;54;32;32;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
EINTHOVEN;Cráter;;Willem Einthoven;UAI 1976 ?;Desconocido;Desconocido;Desconocido;Doctor;Holanda;Holandés;20;Siglo XX;Samarang;1860;Leyde;1927;Profesor en la Universidad de Leyde en 1886. Ideólogo del electrocardiógrafo. Premio Nobel en 1924.;109,6;109,6 ° Este;-4,9;4,9 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;I-102-H1;69;69;41;41;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ELLERMAN;Cráter;;Ferdinand Ellerman;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1869;??;1940;??;-120,1;120,1 ° Oeste;-25,3;25,3 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-022-H2 V-015-H1;47;47;28;28;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ELLISON;Cráter;;Mervyn A. Ellison;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Reino Unido;Británico;20;Siglo XX;??;1909;??;1963;??;-107,5;107,5 ° Oeste;55,1;55,1 ° Norte;Norte-Oeste;;I;Brianchon;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;36;36;21;21;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;999;No observable;No observable
ELVEY;Cráter;;Christian T. Elvey;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1899;??;1970;??;-100,5;100,5 ° Oeste;8,8;8,8 ° Norte;Norte-Oeste;;VIII;Röntgen;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;74;74;44;44;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
EMDEN;Cráter;;J. Robert Emden;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrofísico;Suiza;Suizo;20;Siglo XX;??;1862;??;1940;??;-177,3;177,3 ° Oeste;63,3;63,3 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-053-M V-029-M;111;111;65;65;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ENGEL'GARDT;Cráter;;Vasilij P. Engel'gardt;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Rusia;Ruso;19;Siglo XIX;??;1828;??;1915;??;-159;159 ° Oeste;5,7;5,7 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;I-039-M;43;43;25;25;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ERRO;Cráter;;Luis E. Erro;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;México;Mejicano;20;Siglo XX;??;1897;??;1955;??;98,5;98,5 ° Este;5,7;5,7 ° Norte;Norte-Este;;III;Mare Marginis;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;61;61;36;36;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ESNAULT-PELTERIE;Cráter;;Robert A. C. Esnault-Pelterie;UAI 1988 ?;Desconocido;Desconocido;Desconocido;Ingeniero;Francia;Francés;20;Siglo XX;París;1881;Nice;1957;Ideólogo de varios motores térmicos para aeroplanos. Fundador del International Bourget Airshow. Numerosos estudios sobre propulsión espacial.;-141,4;141,4 ° Oeste;47,7;47,7 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-025-M V-028-H3 V-029-M V-029-H1;79;79;46;46;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ESPIN;Cráter;;Thomas H. E. C. Espin;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Reino Unido;Británico;20;Siglo XX;??;1858;??;1934;??;109,1;109,1 ° Este;28,1;28,1 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;75;75;44;44;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
EVANS;Cráter;;Sir Arthur Evans;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Arqueólogo;Reino Unido;Británico;19;Siglo XIX;??;1851;??;1941;??;-133,5;133,5 ° Oeste;-9,5;9,5 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;67;67;39;39;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
EVDOKIMOV;Cráter;;Nikolaj N. Evdokimov;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.R.S.S.;Soviético;20;Siglo XX;??;1868;??;1940;??;-153;153 ° Oeste;34,8;34,8 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-039-M;50;50;29;29;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
EVERSHED;Cráter;;John Evershed;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Reino Unido;Británico;20;Siglo XX;??;1864;??;1956;??;-159,5;159,5 ° Oeste;35,7;35,7 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-039-H1 V-039-M;66;66;39;39;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FABRY;Cráter;;Charles Fabry;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;Francia;Francés;20;Siglo XX;Marseille;1867;París;1945;Director del Instituto Óptico de París y miembro de la Academia francesa de las Ciencias en 1921. Ideólogo con Perrot y Buisson de un interferómetro. Descubridor de la capa de ozono. Primera verificación del efecto Doppler-Fizeau.;100,7;100,7 ° Este;42,9;42,9 ° Norte;Norte-Este;;III;Mare Marginis;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;184;184;108;108;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
FECHNER;Cráter;;Gustav Theodor Fechner;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Filósofo;Alemania;Alemán;19;Siglo XIX;Gross-Särchen;1801;Leipzig;1887;Ideólogo de un concepto filosófico en el cual el espíritu individual es parte del espíritu de Dios.;124,9;124,9 ° Este;-59;59 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;63;63;37;37;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FENYI;Cráter;;Gyula Fényi;UAI 1985 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Hungría;Húngaro;20;Siglo XX;??;1845;??;1927;??;-105,1;105,1 ° Oeste;-44,9;44,9 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;38;38;22;22;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FEOKTISTOV;Cráter;;Konstantin P. Feoktistov;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Cosmonauta;U.R.S.S.;Soviético;20;Siglo XX;??;1926;;;Cosmonauta involucrado en las misiones Soyuz.;140,7;140,7 ° Este;30,9;30,9 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;23;23;14;14;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FERMI;Cráter;;Enrico Fermi;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;Italia;Italiano;20;Siglo XX;Roma;1901;Chicago;1954;Numerosos estudios en física y partículas atómicas. Descubridor de las propiedades del neutrón. Premio Nobel en 1938.;122,6;122,6 ° Este;-19,3;19,3 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;IV-123-M III-121-M I-136-M;183;183;108;108;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FERSMAN;Cráter;;Aleksandr Ievguenievitch Fersman;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Geólogo;Rusia;Ruso;20;Siglo XX;San Petersburgo;1883;Sotchi;1945;Autor de un destacable tratado sobre geoquímica. Autor de un inventario sobre recursos minerales de la URSS. Director del Instituto Lomonossov.;-126;126 ° Oeste;18,7;18,7 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-024-H2 V-024-M;151;151;89;89;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FESENKOV;Cráter;;Vasiliy Grigor'evich Fesenkov;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrofísico;U.R.S.S.;Soviético;20;Siglo XX;??;1889;??;1972;??;135,1;135,1 ° Este;-23,2;23,2 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;35;35;21;21;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FINSEN;Cráter;;Niels Ryberg Finsen;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Doctor;Dinamarca;Danés;19;Siglo XIX;??;1860;??;1904;Fototerapeuta. Premio Nobel en 1903.;-177,9;177,9 ° Oeste;-42;42 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-043-M V-065-M;72;72;42;42;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FIRSOV;Cráter;;Georgij F. Firsov;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Ingeniero;U.R.S.S.;Soviético;20;Siglo XX;??;1928;??;1971;Ideólogo de lanzaderas espaciales.;112,2;112,2 ° Este;4,5;4,5 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;51;51;30;30;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FISCHER;Cráter;;Emil Hermann Fischer;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Químico;Alemania;Alemán;19;Siglo XIX;Euskirchen;1852;Berlín;1919;Numerosos estudios en quínica orgánica. Síntesis de la glucosa y la fructosa. Premio Nobel en 1902.;142,4;142,4 ° Este;8;8 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;30;30;18;18;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FITZGERALD;Cráter;;George Francis Fitzgerald;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;Irlanda;Irlandés;19;Siglo XIX;Dublín;1851;Dublín;1901;Autor de una teoría sobre las ondas electromagnéticas. Interpretación de la experiencia de Michelson. Medida de la masa del del electrón en 1897.;-171,7;171,7 ° Oeste;27,5;27,5 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;110;110;65;65;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FIZEAU;Cráter;;Armand Hyppolyte L. Fizeau;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;Francia;Francés;19;Siglo XIX;París;1819;Venteuil;1896;Primera fotografía del Sol con Foucault en 1845. Primera medida de la velocidad de la luz en 1849. Co-descubridor con Doppler del desplazamiento de la longitud de onda conforme a la velocidad en 1848. Presidente de la Academia francesa de las Ciencias en 1878.;-133,9;133,9 ° Oeste;-58,6;58,6 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-026-H1 V-022-H1;111;111;65;65;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FLEMING;Cráter;;Sir Alexander Fleming;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Doctor;Reino Unido;Británico;20;Siglo XX;Darvel;1881;Londres;1955;Descubridor de la penicilina en 1927. Premio Nobel con Chain y Florey en 1945.;109,6;109,6 ° Este;15;15 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;106;106;62;62;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FLORENSKY;Cráter;;Kirill P. Florenskiy;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Geólogo;U.R.S.S.;Soviético;20;Siglo XX;??;1915;??;1982;??;131,5;131,5 ° Este;25,3;25,3 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;71;71;42;42;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FOCAS;Cráter;;Ionnas (dit Jean) Focas;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Francia;Francés;20;Siglo XX;??;1908;??;1969;??;-93,8;93,8 ° Oeste;-33,7;33,7 ° Sur;Sur-Oeste;;VII;Mare Orientale;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;IV-194-H3;22;22;13;13;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
FOSTER;Cráter;;John S. Foster;UAI 1979 ?;Desconocido;Desconocido;Desconocido;Físico;Canadá;Canadiense;20;Siglo XX;??;1890;??;1964;??;-141,5;141,5 ° Oeste;23,7;23,7 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-028-H2 V-032-M V-032-H2 V-031-M;33;33;19;19;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FOWLER;Cráter;;William Alfred Fowler;UAI 1976 ?;Desconocido;Desconocido;Desconocido;Astrofísico;U.S.A.;Americano;20;Siglo XX;Pittsburgh;1911;??;??;Estudios sobre la nucleosíntesis estelar. Premio Nobel en física en 1983 con Chandrasekhar.;-145;145 ° Oeste;42,3;42,3 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-029-H1 V-031-M V-028-M V-029-M V-032-M V-028-H3;146;146;86;86;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FOX;Cráter;;Philip Fox;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1878;??;1944;??;98,2;98,2 ° Este;0,5;0,5 ° Norte;Norte-Este;;III;Mare Marginis;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;24;24;14;14;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
FREUNDLICH;Cráter;;Erwin Finlay - Freundlich;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Reino Unido;Británico;20;Siglo XX;??;1885;??;1964;??;171;171 ° Este;25;25 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-079-M;85;85;50;50;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FRIDMAN;Cráter;;Aleksandr Friedmann;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;U.R.S.S.;Soviético;20;Siglo XX;??;1888;??;1925;??;-126;126 ° Oeste;-12,6;12,6 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;102;102;60;60;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
FROELICH;Cráter;;Jack E. Froelich;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Ingeniero;U.S.A.;Americano;20;Siglo XX;??;1921;??;1944;Ideólogo de lanzaderas espaciales.;-109,7;109,7 ° Oeste;80,3;80,3 ° Norte;Norte-Oeste;;I;Brianchon;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;58;58;34;34;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
FROST;Cráter;;Edwin B. Frost;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1866;??;1935;??;-118,4;118,4 ° Oeste;37,7;37,7 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-024-H3 V-015-H3;75;75;44;44;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
