NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;
BELYAEV;AA230964N1431111;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Pavel I. Belyaev;IAU 1970 ?;01/01/1970 00:00:00;Not known;Not known;Not known;cosmonaut;USSR;Soviet;20;20 th century;?;1925;?;1970;Voskhod 2 mission cosmonaut with Leonov on the march 18 1965.;143.111144;143.111144;143 ° 7 ' East;23.096417;23.096° North;Farside;North-East;Not determined;54;54;27.9;3504;0.062698860066123;Not observable;Younger than Moscoviense Basin ;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BENCH;LF32000S3366000;IAU Named formation;LF;Landing site name;Not determined;Not appliable;Formation period not found;Period source not found;No details;Astronaut-named feature - Apollo 12 site.;IAU;01/01/1973 00:00:00;Not known;Not known;Not known;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-23.4;336.6;23 ° 24 ' West;-3.2;3.200° North;Nearside;South-West;Montes Riphaeus;0.1;0.1;0;34;0.192667648295301;Small geological formation visited by Apollo 12 astronauts.;;Not described in this VMA version.;;;99;Not evaluated in this VMA version;9;Two days after First Quarter;One day after Last Quarter;999;Not observable;Not observable;
BENEDICT;AA43492N1415364;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;F. G. Benedict;IAU 1985 ?;01/01/1976 00:00:00;Not known;Not known;Not known;chemist;USA;American;20;20 th century;?;1870;?;1957;?;141.53643;141.53643;141 ° 32 ' East;4.349198;4.349° North;Farside;North-East;Not determined;14;14;6.9;2782;0.201216825542781;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BERGMAN;AA69731N1374896;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Torbern Olof Bergman;IAU 1970 ?;01/01/1976 00:00:00;Not known;Not known;Not known;chemist;Sweden;Swedish;18;;Katrineberg;1735;Medevi;1784;Mineralogist. Discoverer of nickel wolfram and of carbonates composition.;137.489589;137.489589;137 ° 29 ' East;6.973117;6.973° North;Farside;North-East;Not determined;21;21;11.2;2665;0.118410448930056;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BERGSTRAND;AA187200S1764400;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Carl Osten E. Bergstrand;IAU 1997 ?;01/01/1970 00:00:00;Not known;Not known;Not known;astronomer;Sweden;Swedish;20;20 th century;Stockholm;1873;Uppsala;1948;?;176.44;176.44;176 ° 25 ' East;-18.72;18 ° 43 ' South;Farside;South-West;Not determined;106;106;21.4;3238;0.075343757843458;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BERKNER;AA251800N2546600;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms and Byrne / 2009;anorth norite;Lloyd Viel Berkner;IAU 1970;1970-01-01 00:00:00;Not known;Not known;Not known;geophysicist;U. S. A.;American;20;20 th century;?;1905;?;1967;Geophysicist;-105.34;254.66;105 ° 20 ' West;25.18;25 ° 18 ’ North;Farside;North-West;Not determined;87;87;43.8;4012;0.045795291495261;Damaged circular formation.;Older than Hertzsprung Basin ;Slightly steep slopes.;Slightly step walls with not complete terraces.;Flat floor in the North tormented in the South with a central horseshoe shaped mountain.;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BERLAGE;AA630400S1963900;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms and Byrne / 2009;No details;Hendrik P. Berlage;IAU 1970 ?;1970-01-01 00:00:00;Not known;Not known;Not known;geophysicist;Netherlands;Dutch;20;20 th century;?;1896;?;1968;?;-163.61;196.39;163 ° 37 ' West;-63.04;63 ° 2 ' South;Farside;South-West;Not determined;93.75;93.75;46.8;4095;0.043681000426527;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BERNOULLI;AA349295N606124;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Upper Imbrian (From -3.8 billions years to -3.2 billions years);Wilhelms and Byrne / 2009;No details;Jacques Bernoulli;Schröter (1802);01/01/1985 00:00:00;Not named;Not named;Not named;Mathematician and physicist;Switzerland;Swiss;17;17 th century;B?›le;1654;B?›le;1705;Works on the infinitesimal calculation.  Specialist of probabilities.;60.612401;60.612401;60 ° 37 ' East;34.929512;34.930° North;Nearside;North-East;Moon North-East limb;48;47;23.6;3332;0.070464854789125;Circular formation.;;Slightly steep slopes bearing Bernouilli A to the North.;Very high walls in terraces.;Flat floor. Central mountain.;3;Very interesting formation;3;3 days after New Moon;2 days after Full Moon;30;10x binoculars;50 mm refractor;
BEROSUS;AA334956N699922;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Berose;?;01/01/1935 00:00:00;Leototi;Not named;Not named;Astronomer priest and historian;Babylon;Babylonian;-4;4  th century BC;Babylone;330 BC;?;?;Inventor of a solar dial.  Author of a history of Babylon about 280 BC.;69.992161;69.992161;69 ° 60 ' East;33.495559;33.496° North;Nearside;North-East;Moon North-East limb;75;74;37.6;3832;0.050940452287709;Circular formation.;Partly covered by Imbrian ejecta younger than Crisium Basin. Maybe Nectarian - on the map in the source (GHM) it is classified as Nectarian.;Fairly steep slopes.;Slightly high walls in terraces.;Flat floor filled with somber lava.;3;Very interesting formation;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor;
BERZELIUS;AA365518N509548;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Baron Jöns Jacob Berzelius;Mädler (1837);01/01/1935 00:00:00;Not named;Not named;Not named;Chemist;Sweden;Swedish;19;19 th century;V?versunda S?rgard;1779;Stockholm;1848;Secretary of the Academy of Sciences in 1818.  Separated the organic chemistry and the mineral chemistry.  Inventor of symbols and chemical equations.  Laws of the electrochemistry.;50.954777;50.954777;50 ° 57 ' East;36.551821;36.552° North;Nearside;North-East;Atlas crater South-East region;51;51;24.2;3358;0.06921166627574;Circular formation.;Older than Crisium Basin ;Slightly steep slopes.;Slightly high walls.;Flat floor filled with lava. Craterlets. Rille.;3;Very interesting formation;4;4 days after New Moon;3 days after Full Moon;30;10x binoculars;50 mm refractor;
BESSARION;AA148511N3226925;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Copernician (From -1.1 billions years to present days) ?;Period source not found;No details;Johannes Bessarion;Riccioli (1651);01/01/1935 00:00:00;Bettinii;Not named;Bessarion;Scholar and theologian;Byzance;Byzantin;15;15 th century;Trébizonde;1402;Ravenne;1472;Cardinal in 1439.  Partisan of the Union of Churches.  Promoter of the Renaissance in Italy.;-37.307527;322.692473;37 ° 18 ' West;14.85105;14.851° North;Nearside;North-West;Region between Oceanus Procellarum and Mare Imbrium;10;10;4.9;1973;0.200533079132155;Circular formation with bowl shape. Three white radial rays.;Not so sure;Slightly steep slopes bearing Bessarion E to the North.;Fairly high walls.;Rounded floor.;2;Pretty interesting formation;10;3 days after First Quarter;2 days after Last Quarter;50;50 mm refractor;100 mm refractor;
BESSEL;AA217342N179204;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Eratosthenian (From -3.2 billions years to -1.1 billions years);Wilhelms and Byrne / 2009;No details;Friedrich Wilhelm Bessel;Mädler (1837);01/01/1935 00:00:00;Not named;Not named;Not named;Astronomer;Germany;German;19;19 th century;Minden;1784;K?nigsberg;1846;Founder of the observatory of K?nigsberg.  Observation of 75 000 stars.  Measure of the distance of 61 Cygni in 1838.  Prediction of the existence of the companion of Sirius.;17.920354;17.920354;17 ° 55 ' East;21.734231;21.734° North;Nearside;North-East;South-East part of Mare Serenitatis;17;16;7.7;2385;0.153280106470411;Isolated circular formation.;From Geological map I-489;Slightly steep slopes.;Slightly high walls.;Extensive flat floor filled with lava. Craterlets.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;
BETTINUS;AA633969S3148398;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years) ?;Period source not found;noritic anorthosite;Mario Bettini;Riccioli (1651);01/01/1935 00:00:00;Martinitzi;Mons Meridionalis;Bettinus;Philosopher mathematician and astronomer;Italy;Italian;17;17 th century;?;1582;?;1657;?;-45.160231;314.839769;45 ° 10 ' West;-63.396885;63.397° South;Nearside;South-West;Moon South-South-West limb;71;71;35.8;3778;0.05264463080275;Circular formation.;;Fairly steep slopes bearing Bettinus A to the South-West and many craterlets whose a couple to the South-East.;Fairly high walls ridden by two craterlets to the North-West.;Flat floor with a craterlet to the North-East. Mountain slightly off-center to the North-West. Craterlets.;3;Very interesting formation;11;4 days after First Quarter;3 days after Last Quarter;30;10x binoculars;50 mm refractor;
BHABHA;AA555000S1946900;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;ol-noritic gabbro;Homi Jehangir Bhabha;IAU 1970 ?;??;Not known;Not known;Not known;physicist;India;Indian;20;20 th century;Bombay;1909;Mont Blanc;1966;Etude sur les rayons cosmiques. Président de la 1ère conférence sur les applications pacifiques de l'énergie nucléaire de Genève en 1955. Mort dans un accident d'avion. ;-165.31;194.69;165 ° 19 ' West;-55.5;55 ° 30 ' South;Farside;South-West;Not determined;70.25;70.25;35.1;3754;0.053443478189999;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BI SHENG;AA783450N1484587;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Chinese inventor (c. 990-1051).;IAU;02/08/2010 00:00:00;Not known;Not known;Not known;?;Asia;China;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;148.458657;148.458657;148 ° 28 ' East;78.345006;78.345° North;Farside;North-East;Karpinskij;55.271;55.271;0;Unknown height.;Unknown height. Impossible calculation.;Damaged circular formation.;;Steep and rugged slopes crushed by a big crater in the North-West and a big craterlet in the North-East..;;Flat floor riddled with craters and craterlets.;0;Not observable;0;not observable;not observable;999;Not observable;Not observable;
BIANCHINI;AA487814N3256261;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Upper Imbrian (From -3.8 billions years to -3.2 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Francesco Bianchini;Schröter (1802);01/01/1935 00:00:00;Claramontii;Not named;Not named;Astronomer;Italy;Italian;17;17 th century;?;1662;?;1729;?;-34.373945;325.626055;34 ° 22 ' West;48.781409;48.781° North;Nearside;North-West;Moon North-North-West limb;38;38;18.7;3110;0.082741795904729;Situated on the line of crest of Montes Swore. Circular formation.;;Steep slopes bearing Bianchini P to the North.;High walls with terraces.;Flat floor. Small central mountain.;3;Very interesting formation;10;3 days after First Quarter;2 days after Last Quarter;30;10x binoculars;50 mm refractor;
BIELA;AA549915S516285;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Wilhelm von Biela;Mädler (1837);01/01/1935 00:00:00;Not named;Not named;Not named;Astronomer;Austria;Austrian;19;19 th century;Rosslau;1782;Venice;1856;Discoverer of a comet in 1826.;51.628546;51.628546;51 ° 38 ' East;-54.991474;54.991° South;Nearside;South-East;Moon South-South-East limb;76;76;38.5;3859;0.050110095458233;Circular formation.;;Steep slopes bearing Biela A to the East Biela B to the South and Rosenberger A to the North-West.;High walls in terraces overlapped by Biela C to the East and by a crater to the West.;Flat floor filled with lava. Mountain with three summits off-center in the North.;3;Very interesting formation;4;4 days after New Moon;3 days after Full Moon;30;10x binoculars;50 mm refractor;
BILHARZ;AA58278S563438;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;T. Bilharz (ex Langrenus F);?;01/01/1976 00:00:00;Not named;Insula Minor;Not named;Doctor;Germany;German;19;19 th century;?;1825;?;1862;Has given its name to a sickness caused by parasitic worms :  the bilharziose.;56.343802;56.343802;56 ° 21 ' East;-5.827816;5.828° South;Nearside;South-East;Moon East limb;43;43;22.2;3273;0.073477767160999;Circular formation forming an interesting trio with Atwood and Naonobu.;Formerly Langrenus F;Fairly steep slopes bearing Atwood to the East and Langrenus FB to the North.;Slightly high walls in terraces to the East.;Flat floor filled with lava.;3;Very interesting formation;3;3 days after New Moon;2 days after Full Moon;30;10x binoculars;50 mm refractor;
BILLY;AA138324S3097618;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Jacques de Billy;Riccioli (1651);01/01/1935 00:00:00;Not named;Not named;Billy;Mathematician and astronomer;France;French;17;17 th century;?;1602;?;1679;Equally astrologer.  Believed in a mysterious comet influence.;-50.238161;309.761839;50 ° 14 ' West;-13.832399;13.832° South;Nearside;South-West;South-West part of Oceanus Procellarum;46;46;22.7;3295;0.072324236504633;Circular formation forming an interesting couple with Hansteen.;Partly covered by Orientale ejecta. possibly Lower Imbrian ;Slightly steep slopes but to the South-East and bearing Mons Hansteen to the North Billy K to the North-East and Billy D to the South-West.;Slightly high walls.;Very flat floor filled of somber lava. Craterlets.;3;Very interesting formation;11;4 days after First Quarter;3 days after Last Quarter;30;10x binoculars;50 mm refractor;
BINGHAM;AA80200N1150500;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Hiram Bingham;IAU 1970 ?;01/01/1976 00:00:00;Not known;Not known;Not known;Explorer;USA;American;20;20 th century;Honolulu;1875;Washington;1956;Discoverer of Machu Picchu inca city on 1911. Governer and republican senator of Connecticut.;115.05;115.05;115 ° 3 ' East;8.02;8 ° 1 ' North;Farside;North-East;Not determined;34.99;34.99;17.4;3043;0.086992874785484;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BIOT;AA227003S510798;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Eratosthenian (From -3.2 billions years to -1.1 billions years) ?;Period source not found;No details;Jean Baptiste Biot;Mädler (1837);01/01/1935 00:00:00;Not named;Not named;Not named;Physicist;France;French;19;19 th century;Paris;1774;Paris;1862;;51.079832;51.079832;51 ° 5 ' East;-22.700264;22.700° South;Nearside;South-East;Mare Fecunditatis South edge;13;13;6.5;2616;0.201093875668603;Isolated circular formation with bowl shape situated in a gulf of the South part of Mare Fecunditatis.;;Slightly steep slopes.;Slightly high walls.;Rounded floor.;2;Pretty interesting formation;4;4 days after New Moon;3 days after Full Moon;50;50 mm refractor;100 mm refractor;
BIRKELAND;AA301700S1740100;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Eratosthenian (From -3.2 billions years to -1.1 billions years);Wilhelms / 1987 / Geological history of the Moon table;ol-noritic gabbro;Olaf K. Birkeland;IAU 1970 ?;??;Not known;Not known;Not known;Physician;Norway;Norwegian;19;19 th century;Christiania;1867;Tokyo;1917;Works on terrestrial magnetic field. Discoverer of the origin of polar aurorae.;174.01;174.01;174 ° 1 ' East;-30.17;30 ° 11 ' South;Farside;South-East;Not determined;81.64;81.64;40.8;3928;0.048114979426656;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BIRKHOFF;AA584500N2143500;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;George David Birkhoff;IAU 1970 ?;??;Not known;Not known;Not known;Mathematician;U.S.A.;American;20;20 th Century;Overisel Township;1884;Cambridge;1944;General theory of dynamic systems.Demonstration of the last theoreme of Poincaré. Works on relativity theory. ;-145.65;214.35;145 ° 39 ' West;58.45;58 ° 27 ' North;Farside;North-West;Not determined;329.81;329.81;164.9;Unknown height.;Unknown height. Impossible calculation.;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BIRMINGHAM;AA651238N3493021;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms and Byrne / 2009;No details;John Birmingham;Birt / Lee (1865);01/01/1935 00:00:00;Not named;Not named;Not named;Astronomer;Ireland;Irish;19;19 th century;?;1829;?;1884;Observer of the Moon.;-10.69787;349.30213;10 ° 42 ' West;65.12377;65.124° North;Nearside;North-West;Moon North limb;93;92;44.9;4044;0.044973319706488;Wrecked formation.;;Steep slopes to the South.;Slightly high walls supporting Birmingham B to the South.;Tormented floor with a double central craterlet. Hills craterlets depressions and rilles.;3;Very interesting formation;8;1 day after First Quarter;Last Quarter;30;10x binoculars;50 mm refractor;
BIRT;AA223636S3514077;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Copernician (From -1.1 billions years to present days) ?;Period source not found;No details;William R. Birt;Schmidt (1878);01/01/1935 00:00:00;Not named;Insula Cyprus;Not named;Astronomer;England;English;19;19 th century;?;1804;?;1881;Selenographer.;-8.592256;351.407744;8 ° 36 ' West;-22.363583;22.364° South;Nearside;South-West;Mare Humorum region;17;17;7.9;2396;0.151581821525819;Isolated circular formation with bowl shape situated on the bank of Mare Nubium.;;Fairly steep slopes bearing Birt A to the South-East Rima Birt and Birt F to the West and the craterlets Birt K J and H to the South-West.;Very high walls.;Rounded floor.;3;Very interesting formation;8;1 day after First Quarter;Last Quarter;50;50 mm refractor;100 mm refractor;
BJERKNES;AA385000S1136900;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Upper Imbrian (From -3.8 billions years to -3.2 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Vilhelm F. K. Bjerknes;IAU 1970 ?;??;Not known;Not known;Not known;Physicist and meteorologist;Norway;Norwegian;20;20 th Century;Christiania;1862;Oslo;1951;Hertz assistant. Works on magnetic resonances. Discoverer of equations of climate models.;113.69;113.69;113 ° 41 ' East;-38.5;35 ° 3 ' South;Farside;South-East;Not determined;48.18;48.18;24;3351;0.069562728539156;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BLACK;AA91959S803949;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Joseph Black (ex Kästner F);?;01/01/1976 00:00:00;Not named;Not named;Not named;Chemist and physicist;Scotland;Scottish;18;18 th century;Bordeaux;1728;Edimbourg;1799;Disciple of Lavoisier.  Study of the carbonic gas in 1754. Initiator of notions of quantity of heat and latent and specific heat.;80.394873;80.394873;80 ° 24 ' East;-9.195929;9.196° South;Librations zone;South-East;Moon East limb;18;18;9.7;2551;0.131096065095069;Circular formation with bowl shape situated in the zone of librations.;;Slightly steep slopes.;Slightly high walls.;Rounded floor.;1;Low interest or difficult formation;2;2 days after New Moon;1 day after Full Moon;50;50 mm refractor;100 mm refractor;
BLACKETT;AA375500S2441600;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Patrick Maynard Stuart Blackett;IAU 1970 ?;??;Not known;Not known;Not known;Physicist;United Kingdom;British;20;20 th Century;London;1897;London;1974;Works on cosmic rays. First photography of a transmutation phenomena on 1925. Author of a general theory on the magnetisme. Nobel prize on 1948.;-115.84;244.16;115 ° 50 ' West;-37.55;37 ° 33 ' South;Farside;South-West;Not determined;145.31;145.31;72.6;4672;0.032155549993929;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BLAGG;AA12189N14639;IAU Named formation;AA;Crater;Craterlet;Meteoritic impact;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Mary Adela Blagg;Lamech (1956);01/01/1935 00:00:00;Not named;Not named;Not named;Astronomer;England;English;20;20 th century;?;1858;?;1944;Selenographer.  Participated in the elaboration of the lunar nomenclature of the IAU in 1935.;1.463876;1.463876;1 ° 28 ' East;1.218941;1.219° North;Nearside;North-East;Moon disk center;5;5;2.4;989;0.199168033451421;Isolated circular formation with bowl shape situated on a wrinkle ridge of Sinus Medii.;;Slightly steep slopes.;Slightly high walls.;Rounded floor.;1;Low interest or difficult formation;7;First Quarter;6 days after Full Moon;50;50 mm refractor;100 mm refractor;
BLANCANUS;AA637697S3383701;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Giuseppe Biancani;Riccioli (1651);01/01/1935 00:00:00;Ferdinandi Elect. Col.;Vallis Hajalon;Blancanus;Mathematician geographer and astronomer;Italy;Italian;16;16 th century;?;1566;?;1624;?;-21.629925;338.370075;21 ° 38 ' West;-63.769739;63.770° South;Nearside;South-West;Moon South limb;106;106;52.9;4247;0.040135403766686;Circular formation situated on the South-West slope of Clavius.;;Steep slopes bearing Blancanus D to the East Blancanus C to the South-West and a crater to the South.;High walls in terraces.;Flat floor with numerous craterlets whose a group of five to the South-East. Small central triple mountains.;3;Very interesting formation;9;2 days after First Quarter;1 day after Last Quarter;5;Naked eye;10x binoculars;
BLANCHARD;AA582500S2665000;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Jean Pierre Blanchard.;IAU 1970 ?;??;Not known;Not known;Not known;Scientist;France;French;18;18 th century;Les Andelys;1753;Paris;1809;Works on parachute. First Channel crossing on 1785. Balloon fall in la Hague on 1808.;-93.5;266.5;93 ° 30 ' West;-58.25;58 ° 15 ' South;Farside;South-West;Not determined;37.46;37.46;18.7;3107;0.082942405245958;Circular formation in the libration zone.;Formerly Arrhenius P;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BLANCHINUS;AA253156S24439;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Giovanni Bianchini;Riccioli (1651);01/01/1935 00:00:00;Fromi;Not named;Blanchinus;Astronomer;Italy;Italian;15;15 th century;?;?;?;1458;?;2.443858;2.443858;2 ° 27 ' East;-25.315615;25.316° South;Nearside;South-East;Arzachel crater region;68;58;29.9;3578;0.059741916404794;Slightly lengthened formation oriented North South.;Mantled by the Nectaris basin;Steep slopes bearing La Caille and La Caille D to the North-West and Werner to the South;Slightly high walls but to the South and ridden by Blanchinus B to the West.;Flat floor with numerous parallel folds. Hills and craterlets whose Blanchinus M.;3;Very interesting formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor;
BLAZHKO;AA313700N2121400;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Upper Imbrian (From -3.8 billions years to -3.2 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Sergej N. Blazhko;IAU 1970 ?;??;Not known;Not known;Not known;Astronomer;U. R. R. S.;Soviet;20;20 th Century;?;1870;??;1956;Member of the Academy of Sciences of the Soviet Union in 1929. Discover of a variation of the amplitude and period of RR Lyrae stars known as the Blazhko effect.;-147.86;212.14;147 ° 52 ' West;31.37;31 ° 23 ' North;Farside;North-West;Not determined;51.11;51.11;25.5;3411;0.066750556055773;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
BLISS;AA530433N3462207;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Nathaniel. English Astronomer Royal (1700-1764).;IAU;01/01/2000 00:00:00;Not known;Not known;Not known;?;Europe;England;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-13.77933;346.22067;13 ° 47 ' West;53.043345;53.043° North;Nearside;North-West;Plato;22.8495;22.8495;11.4;2677;0.117176100701774;Almost circular formation situated on tthe North-West ejecta of Plato.;Formerly Plato A;rugged slopes.;Slightly steep walls in the West and flatter in the East.;Flat floor with hiills.;99;Not evaluated in this VMA version;9;Two days after First Quarter;One day after Last Quarter;50;50 mm refractor;100 mm refractor;
BLOCK;LF32000S3366000;IAU Named formation;LF;Landing site name;Not determined;Not appliable;Formation period not found;Period source not found;No details;Astronaut-named feature - Apollo 12 site.;IAU;01/01/1973 00:00:00;Not known;Not known;Not known;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-23.4;336.6;23 ° 24 ' West;-3.2;3.200° North;Nearside;South-West;Montes Riphaeus;0.01;0.01;0;1;0.187178546860202;Small geological formation visited by Apollo 12 astronauts.;;Not described in this VMA version.;;;99;Not evaluated in this VMA version;9;Two days after First Quarter;One day after Last Quarter;999;Not observable;Not observable;
BOBILLIER;AA196311N154355;IAU Named formation;AA;Crater;Craterlet;Meteoritic impact;Copernician (From -1.1 billions years to present days) ?;Period source not found;No details;E. Bobillier (ex Bessel E);?;01/01/1976 00:00:00;Not named;Not named;Not named;Geometer;France;French;19;19 th century;?;1798;?;1840;?;15.43545;15.43545;15 ° 26 ' East;19.631101;19.631° North;Nearside;North-East;South-West part of Mare Serenitatis;7;7;3;1205;0.19955675844496;Isolated circular formation with bowl shape situated on the North slope of Dorsum Buckland.;;Fairly steep slopes.;Fairly high walls.;Rounded floor.;2;Pretty interesting formation;6;6 days after New Moon;5 days after Full Moon;50;50 mm refractor;100 mm refractor;
BOBONE;AA267000N1278800;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Jorge Bobone;IAU 1970 ?;??;Not known;Not known;Not known;Astronomer;Argentina;Argentinian;20;20 th Century;?;1901;??;1958;Photographic observations of comets and some asteroids.;-132.12;227.88;132 ° 7 ' West;26.7;26 ° 4 ' North;Farside;North-West;Not determined;32.14;32.14;16;2967;0.092315671662255;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
