NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURY;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS_UK;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
EMDEN;Crater;;J. Robert Emden;UAI 1970 ?;Not known;Not known;Not known;astrophysicist;Switzerland;Swiss;20;20 th century;??;1862;??;1940;??;-177,3;177,3 ° West;63,3;63,3 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-053-M V-029-M;111;111;65;65;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ENGEL'GARDT;Crater;;Vasilij P. Engel'gardt;UAI 1970 ?;Not known;Not known;Not known;astronomer;Russia;Russian;19;19 th century;??;1828;??;1915;??;-159;159 ° West;5,7;5,7 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;I-039-M;43;43;25;25;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ERRO;Crater;;Luis E. Erro;UAI 1970 ?;Not known;Not known;Not known;astronomer;Mexico;Mexican;20;20 th century;??;1897;??;1955;??;98,5;98,5 ° East;5,7;5,7 ° North;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;61;61;36;36;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
ESNAULT-PELTERIE;Crater;;Robert A. C. Esnault-Pelterie;UAI 1988 ?;Not known;Not known;Not known;engineer;France;French;20;20 th century;Paris;1881;Nice;1957;Conceiver of the and of several thermical engines for airplanes. Founder of the International Bourget Airshow. Numerous surveys about spatial propulsion.;-141,4;141,4 ° West;47,7;47,7 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-025-M V-028-H3 V-029-M V-029-H1;79;79;46;46;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
ESPIN;Crater;;Thomas H. E. C. Espin;UAI 1970 ?;Not known;Not known;Not known;astronomer;United Kingdom;British;20;20 th century;??;1858;??;1934;??;109,1;109,1 ° East;28,1;28,1 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;75;75;44;44;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
EVANS;Crater;;Sir Arthur Evans;UAI 1970 ?;Not known;Not known;Not known;archaeologist;United Kingdom;British;19;19 th century;??;1851;??;1941;??;-133,5;133,5 ° West;-9,5;9,5 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;67;67;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
EVDOKIMOV;Crater;;Nikolaj N. Evdokimov;UAI 1970 ?;Not known;Not known;Not known;astronomer;USSR;Soviet;20;20 th century;??;1868;??;1940;??;-153;153 ° West;34,8;34,8 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-039-M;50;50;29;29;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
EVERSHED;Crater;;John Evershed;UAI 1970 ?;Not known;Not known;Not known;astronomer;United Kingdom;British;20;20 th century;??;1864;??;1956;??;-159,5;159,5 ° West;35,7;35,7 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-039-H1 V-039-M;66;66;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FABRY;Crater;;Charles Fabry;UAI 1970 ?;Not known;Not known;Not known;physicist;France;French;20;20 th century;Marseille;1867;Paris;1945;Director of Optics Institute of Paris and member of french Academy of Sciences in 1921. Conceiver with Perrot and Buisson of an interferometer. Discoverer of the ozona layer. First verification of Doppler-Fizeau effect.;100,7;100,7 ° East;42,9;42,9 ° North;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;184;184;108;108;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
FECHNER;Crater;;Gustav Theodor Fechner;UAI 1970 ?;Not known;Not known;Not known;philosopher;Germany;German;19;19 th century;Gross-Särchen;1801;Leipzig;1887;Conceiver of a philosophical concept in which the individual spirit is part of the God spirit.;124,9;124,9 ° East;-59;59 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;63;63;37;37;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FENYI;Crater;;Gyula Fényi;UAI 1985 ?;Not known;Not known;Not known;astronomer;Hungary;Hungar;20;20 th century;??;1845;??;1927;??;-105,1;105,1 ° West;-44,9;44,9 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;38;38;22;22;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FEOKTISTOV;Crater;;Konstantin P. Feoktistov;UAI 1970 ?;Not known;Not known;Not known;cosmonaut;USSR;Soviet;20;20 th century;??;1926;;;Cosmonaut involved in Soyuz missions.;140,7;140,7 ° East;30,9;30,9 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;23;23;14;14;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FERMI;Crater;;Enrico Fermi;UAI 1970 ?;Not known;Not known;Not known;physicist;Italy;Italian;20;20 th century;Roma;1901;Chicago;1954;Numerous surveys in physics and atomic particles. Discoverer of neutron properties. Director for the first atomic pile in Chicago. Nobel laureate in 1938.;122,6;122,6 ° East;-19,3;19,3 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;IV-123-M III-121-M I-136-M;183;183;108;108;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FERSMAN;Crater;;Aleksandr Ievguenievitch Fersman;UAI 1970 ?;Not known;Not known;Not known;geologist;Russia;Russian;20;20 th century;Saint Petersburg;1883;Sotchi;1945;Author of a remarquable treaty about geochemistry. Author of an inventory of mineral ressouces of USSR. Director of Lomonossov Institute.;-126;126 ° West;18,7;18,7 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-024-H2 V-024-M;151;151;89;89;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FESENKOV;Crater;;Vasiliy Grigor'evich Fesenkov;UAI 1970 ?;Not known;Not known;Not known;astrophysicist;USSR;Soviet;20;20 th century;??;1889;??;1972;??;135,1;135,1 ° East;-23,2;23,2 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;35;35;21;21;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FINSEN;Crater;;Niels Ryberg Finsen;UAI 1970 ?;Not known;Not known;Not known;doctor;Danmark;Danish;19;19 th century;??;1860;??;1904;Phototherapist. Nobel laureate.;-177,9;177,9 ° West;-42;42 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-043-M V-065-M;72;72;42;42;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FIRSOV;Crater;;Georgij F. Firsov;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;20 th century;??;1928;??;1971;Space launchers conceiver.;112,2;112,2 ° East;4,5;4,5 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;51;51;30;30;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FISCHER;Crater;;Emil Hermann Fischer;UAI 1970 ?;Not known;Not known;Not known;chemist;Germany;German;19;19 th century;Euskirchen;1852;Berlin;1919;Numerous surveys in organic chemistry. Synthesis of glucose and fructose. Nobel laureate in 1902.;142,4;142,4 ° East;8;8 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;30;30;18;18;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FITZGERALD;Crater;;George Francis Fitzgerald;UAI 1970 ?;Not known;Not known;Not known;physicist;Ireland;Irish;19;19 th century;Dublin;1851;Dublin;1901;Author of electromagnetic waves theory. Interpretation of Michelson experience. Measurement of electron mass in 1897.;-171,7;171,7 ° West;27,5;27,5 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;;110;110;65;65;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FIZEAU;Crater;;Armand Hyppolyte L. Fizeau;UAI 1970 ?;Not known;Not known;Not known;physicist;France;French;19;19 th century;Paris;1819;Venteuil;1896;First sun photography with Foucault in 1845. First measurememt of light speed in 1849. Co-discoverer with Doppler of wavelengthe shift with speed in 1848. President of the french Academy of Sciences in 1878.;-133,9;133,9 ° West;-58,6;58,6 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-026-H1 V-022-H1;111;111;65;65;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FLEMING;Crater;;Sir Alexander Fleming;UAI 1970 ?;Not known;Not known;Not known;doctor;United Kingdom;British;20;20 th century;Darvel;1881;London;1955;Discoverer of penicillin in 1927. Nobel laureate with Chain and Florey in 1945.;109,6;109,6 ° East;15;15 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;106;106;62;62;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FLORENSKY;Crater;;Kirill P. Florenskiy;UAI 1970 ?;Not known;Not known;Not known;geologist;USSR;Soviet;20;20 th century;??;1915;??;1982;??;131,5;131,5 ° East;25,3;25,3 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;71;71;42;42;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FOCAS;Crater;;Ionnas (dit Jean) Focas;UAI 1970 ?;Not known;Not known;Not known;astronomer;France;French;20;20 th century;??;1908;??;1969;??;-93,8;93,8 ° West;-33,7;33,7 ° South;South-West;;VII;Mare Orientale;No map or picture;No map or picture;No map or picture;;IV-194-H3;22;22;13;13;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
FOSTER;Crater;;John S. Foster;UAI 1979 ?;Not known;Not known;Not known;physicist;Canada;Canadian;20;20 th century;??;1890;??;1964;??;-141,5;141,5 ° West;23,7;23,7 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-028-H2 V-032-M V-032-H2 V-031-M;33;33;19;19;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FOWLER;Crater;;William Alfred Fowler;UAI 1976 ?;Not known;Not known;Not known;astrophysicist;USA;American;20;20 th century;Pittsburgh;1911;??;??;Major survey about stellar nucleosynthesis. Nobel laureate in physics in 1983 with Chandrasekhar.;-145;145 ° West;42,3;42,3 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-029-H1 V-031-M V-028-M V-029-M V-032-M V-028-H3;146;146;86;86;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FOX;Crater;;Philip Fox;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;??;1878;??;1944;??;98,2;98,2 ° East;0,5;0,5 ° North;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;24;24;14;14;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
FREUNDLICH;Crater;;Erwin Finlay - Freundlich;UAI 1970 ?;Not known;Not known;Not known;astronomer;United Kingdom;British;20;20 th century;??;1885;??;1964;??;171;171 ° East;25;25 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;V-079-M;85;85;50;50;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FRIDMAN;Crater;;Aleksandr Friedmann;UAI 1970 ?;Not known;Not known;Not known;physicist;USSR;Soviet;20;20 th century;??;1888;??;1925;??;-126;126 ° West;-12,6;12,6 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;102;102;60;60;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FROELICH;Crater;;Jack E. Froelich;UAI 1970 ?;Not known;Not known;Not known;engineer;USA;American;20;20 th century;??;1921;??;1944;Space launchers conceiver.;-109,7;109,7 ° West;80,3;80,3 ° North;North-West;;I;Brianchon;No map or picture;No map or picture;No map or picture;;;58;58;34;34;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
FROST;Crater;;Edwin B. Frost;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;??;1866;??;1935;??;-118,4;118,4 ° West;37,7;37,7 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-024-H3 V-015-H3;75;75;44;44;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
FRYXELL;Crater;;R. H. Fryxell;UAI 1970 ?;Not known;Not known;Not known;geologist;USA;American;20;20 th century;??;1934;??;1974;??;-101,4;101,4 ° West;-21,3;21,3 ° South;South-West;;VII;Mare Orientale;No map or picture;No map or picture;No map or picture;;;18;18;11;11;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
GADOMSKI;Crater;;Jan Gadomski;UAI 1970 ?;Not known;Not known;Not known;astronomer;Poland;Polish;20;20 th century;??;1889;??;1966;??;-147,3;147,3 ° West;36,4;36,4 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-032-M V-031-M;65;65;38;38;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GAGARIN;Crater;;Yurij A. Gagarin;UAI 1976 ?;Not known;Not known;Not known;cosmonaut;USSR;Soviet;20;20 th century;??;1934;??;1968;Test pilot. First man in space with Vostok 1 cabin in 1961. Deceased  in an airplane crash.;149,2;149,2 ° East;-20,2;20,2 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;I-116-M I-115-M II-075-M;265;265;156;156;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GALOIS;Crater;;Evariste Galois;UAI 1970 ?;Not known;Not known;Not known;mathematician;France;French;19;19 th century;Bourg la Reine;1811;Paris;1832;Works on groups theory. Solution of resolution of equations with radicals.;-151,9;151,9 ° West;-14,2;14,2 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;I-036-M I-035-M I-037-M I-038-M I-040-H3 I-040-M I-030-M IV-114-H1 IV-051-M V-030-M I-039-M I-028-M;222;222;131;131;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GAMOW;Crater;;George Gamow;UAI 1970 ?;Not known;Not known;Not known;astrophysicist;USA;American;20;20 th century;Odessa;1904;Boulder;1968;Works with Bohr and Rutherford. Theory about alpha radioactivity. Numerous works on stellar thermonuclear reactions. Cosmology theory implying a fossil temperature of sky bottom. Great popularizer with his character Mr Tompkins.;145,3;145,3 ° East;65,3;65,3 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;129;129;76;76;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GANSKIY;Crater;;Aleksey P. Hansky;UAI 1970 ?;Not known;Not known;Not known;astronomer;Russia;Russian;19;19 th century;??;1870;??;1908;??;97;97 ° East;-9,7;9,7 ° South;South-East;;IV;Curie;No map or picture;No map or picture;No map or picture;;;43;43;25;25;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the librations zone;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
GANSWINDT;Crater;;Hermann Ganswindt;UAI 1970 ?;Not known;Not known;Not known;engineer;Germany;German;20;20 th century;??;1856;??;1934;Space launchers conceiver.;110,3;110,3 ° East;-79,6;79,6 ° South;South-East;;V;Hale;No map or picture;No map or picture;No map or picture;;IV-008-M IV-005-H1 V-021-H2;74;74;44;44;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the librations zone;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
GARAVITO;Crater;;J. Garavito;UAI 1976 ?;Not known;Not known;Not known;astronomer;Colombia;Colombian;20;20 th century;??;1865;??;1920;??;156,7;156,7 ° East;-47,5;47,5 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;74;74;44;44;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GAVRILOV;Crater;;Aleksandr I. Gavrilov;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;20 th century;??;1884;??;1955;Space launchers conceiver.;130,9;130,9 ° East;17,4;17,4 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;60;60;35;35;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GEIGER;Crater;;Johannes H. W. Geiger;UAI 1970 ?;Not known;Not known;Not known;physicist;Germany;German;20;20 th century;??;1882;??;1945;??;158,5;158,5 ° East;-14,6;14,6 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;II-075-H1 II-075-M;34;34;20;20;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GERASIMOVITCH;Crater;;Boris P. Gerasimovitch;UAI 1970 ?;Not known;Not known;Not known;astronomer;USSR;Soviet;20;20 th century;??;1889;??;1937;??;-122,6;122,6 ° West;-22,9;22,9 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-026-H2;86;86;51;51;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GERNSBACK;Crater;;Hugo;UAI 1970 ?;Not known;Not known;Not known;engineer;USA;American;20;20 th century;Luxembourg;1884;New York;1967;Discoverer of radar principle in 1911 and of transistor principle. Publisher of the first science fiction magazine Amazing Stories in 1926.;99,7;99,7 ° East;-36,5;36,5 ° South;South-East;;IV;Curie;No map or picture;No map or picture;No map or picture;;;48;48;28;28;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
GINZEL;Crater;;Friedrich K. Ginzel;UAI 1970 ?;Not known;Not known;Not known;astronomer;Austria;Austrian;20;20 th century;??;1850;??;1926;??;97,4;97,4 ° East;14,3;14,3 ° North;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;55;55;32;32;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
GIORDANO BRUNO;Crater;;Giordano Bruno;UAI 1970 ?;Not known;Not known;Not known;philosopher;Italy;Italian;16;16 th century;Nola;1548;Roma;1600;Heretic accusation in 1576. Disciple of Galilée, then Copernic. Conceiver of an infinite universe. Dead on fire.;102,8;102,8 ° East;35,9;35,9 ° North;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;22;22;13;13;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
GLAUBER;Crater;;Johann Rudolf Glauber;UAI 1970 ?;Not known;Not known;Not known;chemist;Germany;German;17;17 th century;Karlstadt;1604;Amsterdam;1670;Discoverer of chlorhydric acide and of chlorides. Separation of soda and potasse and preparation of their salts.;142,6;142,6 ° East;11,5;11,5 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;15;15;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GLAZENAP;Crater;;Sergej P. Glazenap;UAI 1970 ?;Not known;Not known;Not known;astronomer;USSR;Soviet;20;20 th century;??;1848;??;1937;??;137,6;137,6 ° East;-1,6;1,6 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;I-115-M;43;43;25;25;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GOLITSYN;Crater;;Boris B. Golitsyn;UAI 1976 ?;Not known;Not known;Not known;physicist;Russia;Russian;19;19 th century;??;1862;??;1916;??;-105;105 ° West;-25,1;25,1 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;36;36;21;21;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GOLOVIN;Crater;;Nicholas E. Golovin;UAI 1970 ?;Not known;Not known;Not known;engineer;USA;American;20;20 th century;??;1912;??;1969;Space launchers conceiver.;161,1;161,1 ° East;39,9;39,9 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;V-085-H2 V-103-M V-085-M;37;37;22;22;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GRACHEV;Crater;;Andrej D. Grachev;UAI 1970 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;20 th century;??;1900;??;1964;Space launchers conceiver.;-108,2;108,2 ° West;-3,7;3,7 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-015-H1;35;35;21;21;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GRAVE;Crater;;Dmitriy A. Grave;UAI 1979 ?;Not known;Not known;Not known;engineer;USSR;Soviet;20;20 th century;??;1863;??;1939;??;150,3;150,3 ° East;-17,1;17,1 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;40;40;24;24;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GREEN;Crater;;George Green;UAI 1961 ?;Not known;Not known;Not known;mathematician;United Kingdom;British;19;19 th century;Sneiton;1793;Sneiton;1841;Conceiver of the principle of potential difference in 1828. ;132,9;132,9 ° East;4,1;4,1 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;I-136-M I-117-M;65;65;38;38;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GREGORY;Crater;;James Gregory;UAI 1970 ?;Not known;Not known;Not known;mathematician;United Kingdom;British;17;17 th century;Drumoak;1638;Edimburg;1675;Conceiver of a telescope withe a concave secundary mirror in 1632. Member of the Royal Society in 1668. Conceiver of infinitesimals computations methods of surfaces and volumes. Author of series developpements of trigonometrical functions and Pi.;127,2;127,2 ° East;2,2;2,2 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;I-136-M;67;67;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GRIGG;Crater;;J. Grigg;UAI 1970 ?;Not known;Not known;Not known;astronomer;New Zealand;New Zealander;20;20 th century;??;1838;??;1920;??;-129,4;129,4 ° West;12,9;12,9 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;;36;36;21;21;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
GRISSOM;Crater;;Virgil I. Grissom;UAI 1991 ?;Not known;Not known;Not known;astronaut;USA;American;20;20 th century;??;1926;Cape Kennedy;1967;Astronaut in Gemini missions. Deceased in the Apollo 1 cabin desaster.;-147,4;147,4 ° West;-47;47 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-030-H1;58;58;34;34;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
